"unique_id","doi","doi_no_ver_info","data_id","data_id_auto_cleaned","data_id_no_ex_chr","data_id_m_val","data_id_merged","data_id_secondary","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","in_dcc","data_availability_statement","charite_id_year","license"
380,"10.1038/s41588-023-01422-x","10.1038/s41588-023-01422-x","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000431.v3.p1","phs000431.v3.p1","phs000431.v3.p1","phs000431","phs000431",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE","yes",2015,"NULL"
765,"10.1016/j.bpsgos.2021.07.008","10.1016/j.bpsgos.2021.07.008","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000670.v1.p1","phs000670.v1.p1","phs000670.v1.p1","phs000670","phs000670",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE","no_statement_no_data",2014,"NULL"
913,"10.1038/s41593-022-01043-3","10.1038/s41593-022-01043-3","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000744.v4.p2","phs000744.v4.p2","phs000744.v4.p2","phs000744","phs000744",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE","yes",2016,"NULL"
1255,"10.1038/s41586-022-05275-y","10.1038/s41586-022-05275-y","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000788.v2.p3","phs000788.v2.p3","phs000788.v2.p3","phs000788","phs000788",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE","yes",2018,"NULL"
1565,"10.1038/s41467-021-25403-y","10.1038/s41467-021-25403-y","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000922.v1.p1","phs000922.v1.p1","phs000922.v1.p1","phs000922","phs000922",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,2015,"NULL"
2075,"10.1038/s41467-020-18367-y","10.1038/s41467-020-18367-y","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000930.v9.p1","phs000930.v9.p1","phs000930.v9.p1","phs000930","phs000930",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE","TRUE","FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE",NA,1987,NA
386,"10.1038/s41591-023-02397-2","10.1038/s41591-023-02397-2","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000974.v6.p5","phs000974.v6.p5","phs000974.v6.p5","phs000974","phs000974",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE","yes",2016,"NULL"
2009,"10.1158/1055-9965.epi-20-0714","10.1158/1055-9965.epi-20-0714","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","phs001078.v1.p1","phs001078.v1.p1","phs001078","phs001078",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE","TRUE","FALSE","ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes)","TRUE",NA,2018,NA
1574,"10.1038/s41588-021-00857-4","10.1038/s41588-021-00857-4","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/collection.cgi?study_id=phs001254.v1.p1","phs001254.v1.p1","phs001254.v1.p1","phs001254","phs001254",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,2023,"NULL"
1247,"10.1038/s42003-022-03978-6","10.1038/s42003-022-03978-6","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001321.v1.p1","phs001321.v1.p1","phs001321.v1.p1","phs001321","phs001321",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"NULL"
